rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:genel-cocuk,99,99,7,23.2,6.8,951295135,110147,951295135:110147,Fenerbahçe Çubuklu Forma 25/26 Erkek İç Saha Forması SARI-LACİVERT,Fenerbahçe,Taraftar Store,2475,,2.5,InStock,,,,,4.8,,0,544,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 Günün En Düşük Fiyatı""]",5 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fenerbahce/cubuklu-forma-25-26-erkek-ic-saha-formasi-sari-lacivert-p-951295135?boutiqueId=61&merchantId=110147
cocuk:genel-cocuk,102,102,,0,,1144395555,982060,1144395555:982060,H&M 2’li Polo Okul Tişörtü,H&M,,799.99,,,InStock,,,,,,,,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/2-li-polo-okul-tisortu-p-1144395555?boutiqueId=61&merchantId=982060
cocuk:genel-cocuk,145,145,-13,24.5,8.5,4128440,815717,4128440:815717,Intex 3 Boğumlu Sunset Bebek Havuz 86*25cm 58924,Intex,KOLAY TİCARET,314.28,324,,InStock,,,,,4.6,487,0,168,"[""Sepette %3 İndirim"",""Kargo Bedava""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/intex/3-bogumlu-sunset-bebek-havuz-86-25cm-58924-p-4128440?boutiqueId=61&merchantId=815717
cocuk:genel-cocuk,188,188,-72,17.5,12.5,1137366190,318098,1137366190:318098,N'drops Ortopedik Çocuk Işıklı Tekerlekli Sneaker,N'drops Ortopedik,Bİ AYAKKABI& TERLİK,1680,,,InStock,,,,,4.2,,0,59,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",14 saat 51 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/n-drops/ortopedik-cocuk-isikli-tekerlekli-sneaker-p-1137366190?boutiqueId=61&merchantId=318098
