bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
47,,10.6,20.9,858277375,H&M Tüylü Ceket,H&M,H&M,699.99,,,InStock,,4.9,,,3,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/tuylu-ceket-p-858277375?boutiqueId=61&merchantId=982060
124,,0,,1165234622,H&M Baskılı ve Pamuklu Tişört,H&M,H&M,249.99,,,InStock,,,,,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/baskili-ve-pamuklu-tisort-p-1165234622?boutiqueId=61&merchantId=982060
173,,25,7,951295135,Fenerbahçe Çubuklu Forma 25/26 Erkek İç Saha Forması SARI-LACİVERT,Fenerbahçe,Taraftar Store,2415.7,2465,,InStock,,4.8,,,540,"[""90 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 Günün En Düşük Fiyatı""]",35 dakika 36 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fenerbahce/cubuklu-forma-25-26-erkek-ic-saha-formasi-sari-lacivert-p-951295135?boutiqueId=61&merchantId=110147
179,,24.3,,1174387619,H&M Pamuklu ve Baskılı Pijama Takımı,H&M,H&M,529.99,699.99,,InStock,,,,,1,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/pamuklu-ve-baskili-pijama-takimi-p-1174387619?boutiqueId=61&merchantId=982060
